,annual_return,annual_vol,sharpe_ratio,max_drawdown,positive_weeks
DCMSHRIRAM.NS,0.2311750016865334,0.36150438711448313,0.46517292786737263,-0.3628900671535532,0.5019157088122606
BALKRISIND.NS,0.08872824662806016,0.28391847416125116,0.09057282802198356,-0.36536825725635524,0.5172413793103449
EIHOTEL.NS,0.2882683988871513,0.3657122014520973,0.6159363852153756,-0.41084743130157386,0.5134099616858238
360ONE.NS,0.2918226633580054,0.34011222522309986,0.6727476958886917,-0.3452184424280561,0.5402298850574713
RITES.NS,0.20521726684004035,0.39320585495752075,0.36165361616961156,-0.5058881974624085,0.49808429118773945
LTF.NS,0.24036073172305583,0.32995059915238795,0.5374979911630906,-0.37225905041702034,0.5172413793103449
NMDC.NS,0.28087511432140316,0.3578885796164324,0.6087429977768725,-0.4273431898067087,0.5555555555555556
SPLPETRO.NS,0.34399159000428464,0.3963556981617874,0.7089052682018047,-0.4290040468519636,0.5057471264367817
EXIDEIND.NS,0.14043011504022332,0.28675404634271934,0.2699775941508689,-0.4747023976817032,0.5134099616858238
ALKEM.NS,0.16367394249445652,0.23001047441819406,0.4376365696105228,-0.2715323020338605,0.5095785440613027
SBICARD.NS,-0.04565207997892791,0.2665998080400693,-0.4075960454487086,-0.4307596484737253,0.47509578544061304
SAREGAMA.NS,0.22157693423044528,0.4047434087081837,0.39176422227836516,-0.46247318928576575,0.4942528735632184
MAZDOCK.NS,0.7450700765319795,0.507934210117776,1.3428060474175187,-0.3821369063863166,0.4942528735632184
DEEPAKFERT.NS,0.4181298539809932,0.49364711113715315,0.7193740193624664,-0.5220060698426435,0.5134099616858238
KARURVYSYA.NS,0.4331154027897245,0.3714937119090459,0.9962549659111022,-0.30225917452529283,0.5287356321839081
JWL.NS,0.7330183575243254,0.5953478474773495,1.125401583070689,-0.654149759279818,0.5134099616858238
CDSL.NS,0.3537890298706793,0.4280260552642654,0.6793420138770839,-0.4489323022037828,0.5172413793103449
KIRLOSENG.NS,0.5423163841424303,0.4794849974928962,0.999621341966893,-0.5835787157232577,0.524904214559387
BANKINDIA.NS,0.24008735858635555,0.395078555581021,0.44820051250403214,-0.49453880919349014,0.5057471264367817
UBL.NS,0.07025003588985017,0.24721597603613826,0.02927435560719213,-0.351943406738383,0.4942528735632184
RKFORGE.NS,0.40147753088323446,0.42117754829855303,0.8036149712988111,-0.530537392643711,0.5708812260536399
PNB.NS,0.2743280663619956,0.3453647709302096,0.6118606663246159,-0.35386312266415854,0.5363984674329502
OFSS.NS,0.26894590399507,0.37165595922188865,0.5540956666768614,-0.45917268593128047,0.5095785440613027
MAXHEALTH.NS,0.35207238457306933,0.3449670150390553,0.8379335544436165,-0.2715374848106795,0.5555555555555556
REDINGTON.NS,0.27058184460611534,0.4044990520708129,0.5131505155522305,-0.362935659823046,0.5134099616858238
DIVISLAB.NS,0.14146001417944415,0.2790750649991037,0.28109665291704555,-0.47714798899914224,0.5517241379310345
ASAHIINDIA.NS,0.2568397997730615,0.3429120436937319,0.5652378090592426,-0.3393727916092457,0.5095785440613027
ERIS.NS,0.19900520786658238,0.2717976351995565,0.5003437953797734,-0.29973359052674087,0.5057471264367817
GABRIEL.NS,0.5221094249359383,0.4248610943960122,1.080580179018289,-0.36068656149799616,0.5440613026819924
ETERNAL.NS,0.21868638441653082,0.4418481245736835,0.352323407666702,-0.6974789905605592,0.4827586206896552
PIIND.NS,0.08261833673464379,0.269362336679126,0.07278444893507609,-0.40332821478688685,0.5210727969348659
PFIZER.NS,0.05433952651824832,0.2343398333200405,-0.03701214963951716,-0.4230031902196145,0.47126436781609193
LATENTVIEW.NS,-0.09800258629692435,0.35305570153940113,-0.4560626923469869,-0.6267201791717848,0.39846743295019155
LUPIN.NS,0.1978457980211046,0.2601783627689727,0.5182323737091129,-0.5120312350958409,0.5478927203065134
GODREJPROP.NS,0.09263247947917308,0.3956753449900791,0.07485816935176128,-0.5880331440103379,0.524904214559387
TATACONSUM.NS,0.12662687959952182,0.22339448100408305,0.28476053579304833,-0.2900937787246104,0.5363984674329502
ANANDRATHI.NS,0.5321410340463696,0.28022346407788523,1.6741213591606698,-0.21375840736559792,0.5057471264367817
MOTHERSON.NS,0.19110537609313386,0.349044852072874,0.36697985326768656,-0.49533141530991187,0.5478927203065134
BAYERCROP.NS,0.038674689641017265,0.26564853705657876,-0.09161826420820174,-0.3444358624462851,0.47509578544061304
HOMEFIRST.NS,0.2127005433032461,0.3644210118939719,0.41075456936387744,-0.3713995860669156,0.4942528735632184
FEDERALBNK.NS,0.2883865280458502,0.27336200603280114,0.8244510048086862,-0.2204042243532104,0.5593869731800766
JKTYRE.NS,0.3232066873351811,0.3969074498675762,0.6555526733660522,-0.49000414167148665,0.524904214559387
SHREECEM.NS,-0.013265200300174211,0.2624862177025773,-0.2905986777644608,-0.42938221802831367,0.5019157088122606
